Selected(x),Parent,Name,ObjectType,Description,BaseTemplate,Type,AllowElementToExtend,DefaultAttribute,NamingPattern,DefaultInputPort,DefaultOutputPort,DefaultUndirectedPort,Categories,ModifyDate,AttributeIsConfigurationItem,AttributeIsIndexed,AttributeDefaultUOM,AttributeType,AttributeTypeQualifier,AttributeDefaultValue,AttributeDataReference,AttributeConfigString,NewParent,AttributeIsHidden,AttributeIsExcluded,AnalysisRule,AnalysisRuleConfigString,AnalysisRuleVariableMapping,TimeRule,TimeRuleConfigString,AnalysisOutputTime,,
x,,GitHubOrg,ElementTemplate,,,None,FALSE,,,,,,,3/9/2016 17:25,,,,,,,,,,,,,,,,,,,
x,GitHubOrg,GitHubCredentialToken,AttributeTemplate,Token to identify the application.  Can be generated from https://github.com/settings/tokens/new,,,,,,,,,,,FALSE,FALSE,,String,,,,,,FALSE,FALSE,,,,,,,,
x,GitHubOrg,GitHubProductName,AttributeTemplate,Name of your application - this is the name that will be used when querying the GitHub API (https://github.com/octokit/octokit.net),,,,,,,,,,,FALSE,FALSE,,String,,,,,,FALSE,FALSE,,,,,,,,
x,GitHubOrg,Owner,AttributeTemplate,Name of the GitHub organisation to collect data from,,,,,,,,,configuration;,,FALSE,FALSE,,String,,0,Formula,,,FALSE,FALSE,,,,,,,,
,,Random,ElementTemplate,,,None,FALSE,,,,,,,3/10/2016 13:27,,,,,,,,,,,,,,,,,,,
,Random,HighValue,AttributeTemplate,100,,,,,,,,,,,FALSE,FALSE,,Double,,0,,,,FALSE,FALSE,,,,,,,,
,Random,LowValue,AttributeTemplate,0,,,,,,,,,,,FALSE,FALSE,,Double,,0,,,,FALSE,FALSE,,,,,,,,
,Random,Value,AttributeTemplate,Random value generated by the data collector,,,,,,,,,,,FALSE,FALSE,,Int32,,0,PI Point,\\%@\Configuration\PI Data Archive|Name%\GitHub.%..\element%.%element%.%attribute%;pointtype=Int32;pointsource=L,,FALSE,FALSE,,,,,,,,
x,,Repository,ElementTemplate,,,None,FALSE,,,,,,,3/8/2016 16:04,,,,,,,,,,,,,,,,,,,
x,Repository,Commits,AttributeTemplate,Number of commits in the repository,,,,,,,,,,,FALSE,FALSE,,Int32,,0,PI Point,\\%@\Configuration\PI Data Archive|Name%\GitHub.%..\element%.%element%.%attribute%;pointtype=Int32;pointsource=GitHub;span=10000;step=1,,FALSE,FALSE,,,,,,,,
x,Repository,CommitsPerDay,AttributeTemplate,Calculation of the number of commits per day,,,,,,,,,,,FALSE,FALSE,,Int32,,0,PI Point,\\%@\Configuration\PI Data Archive|Name%\GitHub.%..\element%.%element%.%attribute%;pointtype=Int32;pointsource=GitHub;span=10000,,FALSE,FALSE,,,,,,,,
x,Repository,Contributors,AttributeTemplate,Number of commits in the repository,,,,,,,,,,,FALSE,FALSE,,Int32,,0,PI Point,\\%@\Configuration\PI Data Archive|Name%\GitHub.%..\element%.%element%.%attribute%;pointtype=Int32;pointsource=GitHub;span=10000;step=1,,FALSE,FALSE,,,,,,,,
x,Repository,CreatedAt,AttributeTemplate,Creation date of the repository,,,,,,,,,,,FALSE,FALSE,,DateTime,,1/1/1970 1:00,,,,FALSE,FALSE,,,,,,,,
x,Repository,Forks,AttributeTemplate,Number of forks for this repository,,,,,,,,,,,FALSE,FALSE,,Int32,,0,PI Point,\\%@\Configuration\PI Data Archive|Name%\GitHub.%..\element%.%element%.%attribute%;pointtype=Int32;pointsource=GitHub;span=10000,,FALSE,FALSE,,,,,,,,
x,Repository,HasDownloads,AttributeTemplate,Tells if the repository has downloads,,,,,,,,,,,FALSE,FALSE,,Boolean,,FALSE,,,,FALSE,FALSE,,,,,,,,
x,Repository,HasIssues,AttributeTemplate,Tells if the repository has issues,,,,,,,,,,,FALSE,FALSE,,Boolean,,FALSE,,,,FALSE,FALSE,,,,,,,,
x,Repository,HasWiki,AttributeTemplate,Tells if the repository has a wiki,,,,,,,,,,,FALSE,FALSE,,Boolean,,FALSE,,,,FALSE,FALSE,,,,,,,,
x,Repository,Name,AttributeTemplate,Name of the repository,,,,,,,,,,,FALSE,FALSE,,String,,,PI Point,\\%@\Configuration\PI Data Archive|Name%\GitHub.%..\element%.%element%.%attribute%;pointtype=string;pointsource=GitHub;span=10000,,FALSE,FALSE,,,,,,,,
x,Repository,Open Issues,AttributeTemplate,Number of issues currently opened,,,,,,,,,,,FALSE,FALSE,,Int32,,0,PI Point,\\%@\Configuration\PI Data Archive|Name%\GitHub.%..\element%.%element%.%attribute%;pointtype=Int32;pointsource=GitHub;span=10000;step=1,,FALSE,FALSE,,,,,,,,
x,Repository,Pull Requests,AttributeTemplate,Number of active pull requests,,,,,,,,,,,FALSE,FALSE,,Int32,,0,PI Point,\\%@\Configuration\PI Data Archive|Name%\GitHub.%..\element%.%element%.%attribute%;pointtype=Int32;pointsource=GitHub;span=10000,,FALSE,FALSE,,,,,,,,
x,Repository,Stars,AttributeTemplate,Number of persons who starred the repository,,,,,,,,,,,FALSE,FALSE,,Int32,,0,PI Point,\\%@\Configuration\PI Data Archive|Name%\GitHub.%..\element%.%element%.%attribute%;pointtype=Int32;pointsource=GitHub,,FALSE,FALSE,,,,,,,,
x,Repository,UpdatedAt,AttributeTemplate,Last time the repository was updated,,,,,,,,,,,FALSE,FALSE,,DateTime,,1/1/1970 1:00,PI Point,\\%@\Configuration\PI Data Archive|Name%\GitHub.%..\element%.%element%.%attribute%;pointtype=timestamp;pointsource=GitHub;span=10000;step=1,,FALSE,FALSE,,,,,,,,
x,Repository,Url,AttributeTemplate,Url of the Github Repository,,,,,,,,,,,FALSE,FALSE,,String,,,,,,FALSE,FALSE,,,,,,,,
x,Repository,Watchers,AttributeTemplate,Number of people who receives notifications about repository changes,,,,,,,,,,,FALSE,FALSE,,Int32,,0,PI Point,\\%@\Configuration\PI Data Archive|Name%\GitHub.%..\element%.%element%.%attribute%;pointtype=Int32;pointsource=GitHub,,FALSE,FALSE,,,,,,,,
x,Repository,RepositoryCalcs,AnalysisTemplate,,,,,,,,,,,,,,,,,,,,,,,PerformanceEquation,"CommitsPerDay := TagVal('{91b80d4d-27e3-479a-996c-e988f2b3c61b};Commits','t')-TagVal('{91b80d4d-27e3-479a-996c-e988f2b3c61b};Commits','y');
Variable1 := ;",CommitsPerDay||CommitsPerDay;[GUID]||{1f1813e9-7a3e-4108-8817-208d5a5e236d};[GUID]||[UNSET];,Natural,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
